"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Total_nitrogen_measured_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"City of Durham","NH3.3SC",2009-01-14,900,1.58,"1.64",11.94,"8",340,4.1,"7.49","0.4","0.4","--",0.8,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-02-18,915,11.2,"23.3",12.02,"7.2",410,5.6,"34.7","0.9","0.5","--",1.4,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-03-25,905,2.04,"2.12",9.65,"7.4",330,9.9,"11.1","0.38","0.1","--",0.48,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-04-22,900,1.45,"1.48",7.8,"7.9",280,14.2,"6.8","<0.7","0.3","--",1,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-05-21,915,0.9,"0.86",5.91,"7.9",280,17,"7.04","<0.7","0.3","--",1,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-06-17,900,1.45,"1.84",6.16,"7.5",270,21.1,"9.49","<0.3","0.4","--",0.7,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-07-22,845,0.45,"6.92",4.44,"7.8",230,21.6,"3.83","<0.3","<0.1","--",0.4,"--",0.14,"2009"
"City of Durham","NH3.3SC",2009-08-20,850,0.7,"2.17",4.48,"7.7",220,24.1,"4.9","<0.3","<0.1","--",0.4,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-09-22,915,NA,"E102",5.9,"7.6",300,20,"4.61","<0.3","<0.1","--",0.4,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-10-21,915,0.32,"0.5",8.93,"7.8",260,10.1,"3.94","<0.3","<0.1","--",0.4,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-11-18,855,1.45,"7.27",8.71,"8.1",280,12.9,"7.13","1.1","0.3","--",1.4,"--",0.03,"2009"
"City of Durham","NH3.3SC",2009-12-09,915,NA,"E113",13.22,"8",60,7.6,"311","0.6","0.2","--",0.8,"--",0.03,"2009"
"City of Durham","NH3.3SC",2010-01-20,930,3.04,"2.96",11.64,"7.8",220,6.7,"17.4","--","0.4","--",NA,"--",0.03,"2010"
"City of Durham","NH3.3SC",2010-02-24,955,3.52,"7.46",11.18,"8",303,7.6,"17.3","0.3","0.3","--",0.6,"--",0.03,"2010"
"City of Durham","NH3.3SC",2010-03-17,915,2.4,"3.88",10.9,"7.8",310,8.4,"13.4","0.7","0.1","--",0.8,"--",0.03,"2010"
"City of Durham","NH3.3SC",2010-04-21,925,2.08,"4.34",7.65,"7.9",300,14.6,"4.08","0.4","0.3","--",0.7,"--",0.03,"2010"
"City of Durham","NH3.3SC",2010-05-12,920,0.9,"0.82",8.15,"7.9",272,16.5,"5.65","0.3","0.3","--",0.6,"--",0.03,"2010"
"City of Durham","NH3.3SC",2010-06-23,735,0.56,"2.79",4.75,"7.7",330,23.7,"5.25","--","0.2","--",NA,"--",0.09,"2010"
"City of Durham","NH3.3SC",2010-07-20,945,0.79,"1.01",5.39,"7.6",210,25.4,"14.5","<0.3","0.2","--",0.5,"--",0.11,"2010"
"City of Durham","NH3.3SC",2010-08-18,925,0.08,"0.13",5.72,"7.9",350,25.6,"4.1","0.3","0.2","--",0.5,"--",0.14,"2010"
