DataSource,USGS_or_Durham_station_ID,Sample_date,Sample_time,Instantaneous_flow_cfs,Daily_mean_flow_cfs,Dissolved_oxygen_mg/L,pH_standard_units,Specific_conductance_µS/cm_25C,Water_temperature_C,Turbidity_unfiltered_NTU,Ammonia+organicN_unfiltered_mg/L_N,Nitrate+nitrite_unfiltered_mg/L_N,Nitrate+nitrite_filtered_mg/L_ N,Total nitrogen_computed_mg/L_N,Phosphorus_unfiltered_mg/L_P     
City of Durham,EL7.9EC,1/6/09,1045,187.96,79.93,11.2,7.5,80,10.1,76.2,E1,0.3,--,E1.3,0.06
City of Durham,EL7.9EC,2/10/09,1055,0.55,0.45,12.01,8,290,8.4,3.2,0.4,0.1,--,0.45,0.05
City of Durham,EL7.9EC,3/17/09,1023,15.02,24.59,11.71,7.8,121,10,49.8,--,0.3,--,--,0.13
City of Durham,EL7.9EC,4/14/09,955,2.06,10.72,9.74,8.1,228,13.8,3.86,<0.9,0.1,--,<1,0.09
City of Durham,EL7.9EC,5/12/09,1015,1.55,1.53,9.05,8,195,15.2,7.57,0.5,0.2,--,0.7,0.12
City of Durham,EL7.9EC,6/10/09,955,E16.00,60.34,8.1,7.8,100,22.7,113,0.7,0.2,--,0.9,0.14
City of Durham,EL7.9EC,7/14/09,1015,6.16,1.84,8.26,7.7,114,22.8,16.4,0.3,0.1,--,0.4,0.06
City of Durham,EL7.9EC,8/11/09,950,0.11,0.4,1.66,7.9,200,25.4,4.64,<0.3,0.1,--,<0.4,0.05
City of Durham,EL7.9EC,9/15/09,1100,0.04,0.04,3.86,7.8,220,20.2,2.83,<0.3,0.1,--,<0.4,0.09
City of Durham,EL7.9EC,10/13/09,945,0.89,1.39,8.57,7.79,220,15.3,11.7,<0.3,0.1,--,<0.4,<0.08
City of Durham,EL7.9EC,11/10/09,1020,0.32,9.57,8.04,8,220,13,3.29,<0.3,0.1,--,<0.4,<0.09
City of Durham,EL7.9EC,12/1/09,1015,1.32,1.57,11.33,8,179,7.8,19.3,0.3,0.2,--,0.5,<0.1
City of Durham,EL7.9EC,1/12/10,1005,1.55,1.62,10.75,8,240,1.9,9,--,0.3,--,--,0.07
City of Durham,EL7.9EC,2/16/10,1010,2.67,2.73,14.01,8,560,3.1,22.2,0.6,0.3,--,0.9,0.11
City of Durham,EL7.9EC,3/9/10,1055,1.32,1.33,11.96,8.1,310,9,5.62,0.5,0.1,--,0.55,0.1
City of Durham,EL7.9EC,4/13/10,955,2.06,2.03,8.71,8.3,161,15.1,5.34,0.4,0.2,--,0.6,0.09
City of Durham,EL7.9EC,5/4/10,1032,0.24,0.24,4.24,8,470,21.1,4.59,0.5,0.2,--,0.7,0.07
City of Durham,EL7.9EC,6/15/10,1055,1.34,1.24,7.38,7.9,140,25,9.24,--,0.1,--,--,0.12
City of Durham,EL7.9EC,7/13/10,1000,4.28,23.45,6.94,7.6,110,24,9.62,1,0.2,--,1.2,0.12
City of Durham,EL7.9EC,8/10/10,955,0.18,0.24,4.64,7.9,204,25,3.83,0.5,0.1,--,0.6,0.07
City of Durham,EL7.9EC,9/14/10,950,0.06,0.05,4.47,7.4,295,19.8,1.72,0.4,0.1,--,0.45,<0.03
City of Durham,EL7.9EC,10/12/10,1000,0.24,0.24,6,7.7,222,17.5,3.08,<0.3,0.1,--,<0.4,0.04
City of Durham,EL7.9EC,11/9/10,1105,0.32,0.38,9.83,7.5,200,9.4,4.56,<0.3,0.1,--,<0.4,<0.03
City of Durham,EL7.9EC,12/7/10,1035,0.32,0.36,13.43,8.4,260,1.5,7.73,0.4,0.1,--,0.45,<0.03
City of Durham,EL7.9EC,1/18/11,1110,1.82,1.67,13.16,7.4,1130,3.1,20,0.5,0.2,--,0.7,<0.03
City of Durham,EL7.9EC,2/15/11,1020,0.79,0.74,11.49,7.2,400,6.2,7.68,<0.3,0.1,--,<0.4,<0.03
City of Durham,EL7.9EC,3/15/11,1025,0.24,0.25,5.66,7.6,265,10.1,11.4,--,0.1,--,--,<0.03
City of Durham,EL7.9EC,4/12/11,1100,1.34,1.55,10.34,7.6,213,18.3,5.35,0.8,0.1,--,0.85,<0.03
City of Durham,EL7.9EC,5/11/11,1010,1.56,2.15,6.68,7.2,171.3,18.1,8.17,0.8,0.5,--,1.3,0.08
City of Durham,EL7.9EC,6/7/11,1100,0.18,0.18,4.71,7.29,268.8,22.2,2.2,<0.3,0.1,--,<0.4,0.22
City of Durham,EL7.9EC,7/12/11,1115,0.52,1.17,5.95,7.32,153,26,11.4,1.1,0.2,--,1.3,0.08
City of Durham,EL7.9EC,8/16/11,1025,0.18,0.16,5.44,7.34,169.8,22.4,3.57,<0.3,0.1,--,<0.4,0.07
City of Durham,EL7.9EC,9/13/11,1030,0.18,0.16,5.55,7.35,176,21.3,6.52,<0.3,0.1,--,<0.4,0.07
City of Durham,EL7.9EC,10/11/11,1040,0.18,0.23,6.59,7.42,264.8,16.7,3.34,0.4,0.3,--,0.7,0.07
City of Durham,EL7.9EC,11/9/11,1055,0.64,0.64,10.61,7.61,169,10.5,8.23,0.4,0.2,--,0.6,0.04
City of Durham,EL7.9EC,12/6/11,1035,1.13,1.19,10.7,7.74,155.6,12.5,15.9,0.7,0.1,--,0.8,0.11
City of Durham,EL7.9EC,1/25/12,955,0.64,0.7,11.6,7.65,229.5,6.7,5.8,0.3,0.1,--,0.4,<0.03
City of Durham,EL7.9EC,2/21/12,1015,2.71,2.63,13.5,7.7,156,4.9,18,0.6,0.2,--,0.8,0.06
City of Durham,EL7.9EC,3/20/12,1055,12.82,17.3,9.13,7.24,103.3,16.3,64.2,1,0.4,--,1.4,0.17
City of Durham,EL7.9EC,4/17/12,1025,0.32,0.32,5.04,7.44,329.5,18.5,2.64,0.8,E0.063,--,0.863,0.07
City of Durham,EL7.9EC,5/22/12,1025,0.32,0.32,5.44,7.1,246.3,20,2.87,0.4,0.1,--,0.5,0.05
City of Durham,EL7.9EC,6/19/12,1025,0.24,0.22,6.2,7.4,236.3,21.3,3.49,0.7,0.2,--,0.9,0.06
City of Durham,EL7.9EC,7/17/12,930,0.11,0.14,4.37,7.24,183.1,25.4,3.71,0.7,0.1,--,0.8,0.07
